magnitude,cdi,mmi,sig,nst,dmin,gap,depth,dt,tsunami,Latitude,Longitude
6.5,8,8,1153,0,0.225,37,19.36,2017-11,1,9.5147,-84.4865
7.3,8,9,2790,0,0.284,33,19,2017-11,0,34.9109,45.9592
6.5,6,5,661,0,4.449,10,110.57,2017-11,1,-4.2433,143.485
6.8,5,5,727,0,4.852,21,10,2017-11,1,-15.3197,-173.168
6.6,3,5,674,0,0.788,29,22,2017-11,1,-21.6484,168.859
6.7,3,4,691,0,1.062,55,24,2017-10,1,-21.6971,169.148
6.7,3,3,694,0,1.634,16,553.81,2017-10,0,-7.2168,123.074
6.5,3,5,651,0,1.154,11,119,2017-10,1,52.3909,176.769
7.1,9,8,1686,0,0.984,23,48,2017-9,0,18.5499,-98.4887
8.2,9,7,2910,0,0.944,22,47.39,2017-9,1,15.0222,-93.8993
6.5,5,7,707,0,11.411,22,9,2017-8,0,33.1926,103.855
6.6,7,7,1064,0,0.913,16,7,2017-7,0,36.9293,27.4139
7.7,8,7,918,0,3.564,13,10,2017-7,1,54.4434,168.857
6.6,5,4,704,0,3.773,37,10,2017-7,1,-49.4837,164.016
6.5,9,8,740,0,4.139,30,9,2017-7,1,11.1269,124.629
6.8,6,6,1034,0,1.065,38,38.12,2017-6,1,13.7174,-90.9718
6.9,8,6,1188,0,0.247,35,93,2017-6,1,14.9091,-92.0092
6.8,0,4,711,0,2.308,12,5,2017-6,1,54.0312,170.92
6.6,7,7,678,0,2.353,18,12,2017-5,0,-1.2923,120.431
6.5,0,4,650,0,6.489,17,15,2017-5,1,-56.414,-25.7432
6.8,6,5,713,0,7.495,19,169,2017-5,1,-14.5884,167.377
6.9,9,6,814,0,1.636,14,26,2017-4,1,5.5043,125.066
6.9,9,7,1642,0,0.356,39,28,2017-4,1,-33.0375,-72.0617
6.5,7,8,1297,0,2.36,15,29,2017-4,0,-22.6784,25.1558
6.6,6,7,671,0,4.591,14,17,2017-3,1,56.9401,162.786
6.9,2,3,733,0,6.012,19,414.5,2017-2,1,-23.2593,-178.804
6.5,3,3,653,0,4.242,14,595.98,2017-2,0,-19.2814,-63.9047
6.5,8,7,718,0,2.822,36,15,2017-2,1,9.9071,125.452
7.9,9,7,987,0,3.625,9,135,2017-1,1,-6.2464,155.172
6.5,6,6,654,0,1.64,21,36,2017-1,1,-10.3506,161.335
7.3,6,3,849,0,3.813,18,627.17,2017-1,1,4.4782,122.617
6.9,6,4,742,0,2.495,13,12,2017-1,1,-19.3733,176.052
7.6,9,8,1152,0,0.355,29,38,2016-12,1,-43.4064,-73.9413
6.7,5,5,726,0,3.38,17,152,2016-12,0,-7.5082,127.921
7.9,9,7,972,0,1.389,13,94.54,2016-12,1,-4.5049,153.522
6.9,8,6,737,0,1.747,26,19.73,2016-12,1,-10.749,161.132
6.5,0,5,650,0,1.937,18,12.26,2016-12,0,-10.8416,161.314
7.8,9,8,961,0,1.836,13,40,2016-12,1,-10.6812,161.327
6.6,5,4,1120,0,1.405,55,8.45,2016-12,1,40.4535,-126.194
6.5,9,8,731,0,0.778,27,13,2016-12,0,5.2834,96.1678
6.6,8,7,693,0,1.697,20,17,2016-11,0,39.2732,73.9776
6.9,5,4,855,0,1.796,20,10,2016-11,1,11.9097,-88.8968
6.9,9,6,1144,0,0.671,10,9,2016-11,1,37.3931,141.387
6.5,7,7,664,0,0.283,56,9,2016-11,1,-42.6058,173.254
6.5,6,7,656,0,0.135,58,10,2016-11,1,-42.3205,173.669
7.8,9,9,1545,0,0.481,21,15.11,2016-11,1,-42.7373,173.054
6.6,9,8,2840,0,0.174,25,8,2016-10,0,42.8621,13.0961
